index,clean_text
1,fake news técnicos prefeitura alertam falso notícia sexo mutuals proibido nota conjunta câmara vereadores alega mentira vem sendo espalhada oposição prejudicar base governo municipal
2,confiem galera big techs boazinhas precisa regular mesmas autorregulam notícia www uol br tilt noticia
3,cansei desse mimimi pacificação meio guerra bolsonarismo vai ceder vão vir cima vão reconhecer eleição diz pedro serrano jornalggn br noticia nao
4,acabo vir safe space nazista elon musk péssima notícia pro estadão ninguém núcleo duro bolsonarismo aceita menos anistia total
5,notícia globo ouro prata caio bonfim piu sobem pódio tóquio melhor campanha brasileira mundiais link paywall
6,notícia opinião ruy castro lugar povo rua link paywall
7,notícia globo presença ney matogrosso imperatriz junta sambas homenagear cantor sapucaí link paywall
8,notícia preço invisível autismo mãe custa dobro link paywall
9,notícia ney matogrosso diz entregue carnaval link paywall
10,notícia bolsonarismo vive desalento pós condenação fica reação ruas insiste anistia link paywall
11,tras conocer la noticia la cancelación jimmy kimmell el daily show transformó su programa tal y le gustaría donald trump fuese
12,pedro pascal outra boa notícia gajo estado sempre lado certo coisas corajoso ruffalo tomei sabia têm historial matéria
13,cada notícia dessas sinto mundo inclina grau direção giro 180 onde irá travar completamente cabeça baixo
14,notícia globo musical conta história jovelina pérola negra nome essencial samba link paywall
15,pt destaques semana ar preparamos compilado principais postagens perfil pt brasil ficar bem informado temas importam povo brasil dá play confira notícia conquista luta longo semana
16,notícia caio bonfim triunfa tóquio torna campeão mundial marcha 20 km link paywall
17,notícia mpf recomenda suspensão pesquisa extração lítio vale jequitinhonha mg link paywall
18,notícia globo medalha ouro caio bonfim faz história campeão mundial marcha atlética 20km tóquio link paywall
19,notícia alessandro vieira relator pec blindagem senado colocou contra proposta link paywall
20,notícia filho casal surdo repórter viraliza traduzir matéria libras link paywall
21,notícia filho casal surdo repórter viraliza traduzir matéria libras link paywall
22,tanta notícia estragos unidos breve jornal nacional vai inglês
23,notícia mec defende merenda escolar limites arcabouço fiscal link paywall
24,notícia tratado proteger alto mar consegue número adesões entrar vigor link paywall
25,boa notícia
26,notícia globo após representação líder pt câmara começa avaliar quebra decoro eduardo bolsonaro terça feira link paywall
27,notícia globo espanha walter salles recebe prêmio internacional melhor filme ano ainda aqui link paywall
28,notícia painel maricá rio janeiro orquestra brics direção andré abujamra link paywall
29,notícia br leia carta padilha explica desistência viagem eua após restrição trump link paywall
30,li notícia cedo consegui pensar pânico vai gerar quantidade picareta vai vender produto baixar pressão
