handle,text,is_recent_account,is_following_ratio_high,has_duplicate_posts
arksecktor.com,Vacina de hpv 9v tá cara né,False,False,False
arksecktor.com,15 minutos esperando a tia da vacina. Será que ela sextou já?,False,False,False
arksecktor.com,"Pastelzinho na feira, silksong e vacina, sábado gostoso demais",False,False,False
arksecktor.com,"Saúders, é normal sentir uma dorzinha/inchaço no linfonodo na axila depois de uma vacina?",False,False,False
fernandoaprado.bsky.social,Monark tem Green Card negado porque não quis tomar vacina.,False,False,False
fernandoaprado.bsky.social,A VACINA CONTRA ESTA DOENÇA É A CADEIA !!,False,False,False
fernandoaprado.bsky.social,"Testes clínicos de vacina contra o câncer começam na Rússia
Vacinas personalizadas chegarão ao primeiro grupo de pacientes com câncer e melanoma nos próximos meses, diretor do Centro Nacional de Pesquisa Gamaleya, à Sputnik.
Espera-se que seja distribuída de graça.",False,False,False
fernandoaprado.bsky.social,"TOMEM VACINA !!! 
Ou naum....
www.brasil247.com/saude/alerta...",False,False,False
fernandoaprado.bsky.social,"QUARENTENA !
Que me perdoem as autoridades sanitárias, mas não vou comer frango nem ovos, enquanto não houver segurança efetiva para todos
A taxa de mortalidade é 50% em humanos.
Não há como controlar todas as estradas, portos, aeroportos para efetuar o bloqueio sanitário
Não há vacina eficaz",False,False,False
fernandoaprado.bsky.social,"20/05/2025
TOMEI VACINA DA GRIPE E DA COVID.",False,False,False
rosepaixao.bsky.social,Vacina pro vírus é cadeia! Pagar pelos mais de 700.000 mortos por covid,False,False,False
rosepaixao.bsky.social,"Só pastor irresponsável e pessoas que faltaram a aula na escola, acreditam que crise climática não existe, que a terra é plana e que vacina faz mal.",False,False,False
rosepaixao.bsky.social,"desencorajou as pessoas à tomarem vacina pra prevenir a gripe, atrasou a vacina, onde muita gente faleceu,",False,False,False
rosepaixao.bsky.social,"O laranjão está defendendo um inelegível, dizendo que ele é bonzinho, o ""bozinho"" que não podemos esquecer que precisa responder não apenas por tentativa de golpe no país, mas também pelo assassinato de mais de 700.000 pessoas por covid, negando vacina na pandemia.",False,False,False
