"uri","text","author_handle","author_display_name","created_at","like_count","reply_count","repost_count","hashtags","url"
"at://did:plc:2wlcxcd6jwvan5etjh4pabxv/app.bsky.feed.post/3lzblaamzyk2k","FAKE NEWS 

Técnicos da Prefeitura alertam que é falso a notícia de que o sexo entre mutuals está proibido 

Em nota conjunta, a câmara dos vereadores alega que a mentira vem sendo espalhada pela oposição para prejudicar a base do governo municipal","prefeitura.bsky.social","Prefeitura de Céu Azul","2025-09-20T14:21:12.832Z","49","1","15","","https://bsky.app/profile/prefeitura.bsky.social/post/3lzblaamzyk2k"
"at://did:plc:zizkgb4v5kb4xmjpdzkbcx3g/app.bsky.feed.post/3lzbk436nu72e","Mas confiem, galera, as big techs são boazinhas, não precisa regular, elas mesmas se autorregulam...

🔗  Notícia: www.uol.com.br/tilt/noticia...","sleepinggiantsbr.bsky.social","Sleeping Giants Brasil","2025-09-20T14:00:57.734Z","46","0","12","","https://bsky.app/profile/sleepinggiantsbr.bsky.social/post/3lzbk436nu72e"
"at://did:plc:4z3zpztpn35miubx3exja4uh/app.bsky.feed.post/3lzbiootpac2p","“Cansei desse mimimi de pacificação no meio da guerra. O bolsonarismo vai ceder? Eles vão vir para cima, não vão reconhecer a eleição”, diz Pedro Serrano

jornalggn.com.br/noticia/nao-...","luisnassif.bsky.social","Luís Nassif","2025-09-20T13:35:36.270Z","59","5","22","","https://bsky.app/profile/luisnassif.bsky.social/post/3lzbiootpac2p"
"at://did:plc:ioms7gyqtleyrmbevbpwvc2h/app.bsky.feed.post/3lzbiiwkn6k22","Acabo de vir do safe space de nazista do Elon Musk e tenho uma péssima notícia pro Estadão: ninguém no núcleo duro do bolsonarismo aceita menos do que a anistia total","arnaldobranco.bsky.social","Arnaldo Branco","2025-09-20T13:32:23.034Z","29","2","1","","https://bsky.app/profile/arnaldobranco.bsky.social/post/3lzbiiwkn6k22"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzbcizehj42o","Notícia da @oglobo.globo.com

""Ouro e prata: Caio Bonfim e Piu sobem ao pódio em Tóquio, na melhor campanha brasileira em mundiais""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T11:34:12Z","12","0","3","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzbcizehj42o"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzbatmn5bh2o","Notícia da @folha.com

""Opinião - Ruy Castro: Lugar de povo é na rua""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T11:11:33.304Z","13","0","1","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzbatmn5bh2o"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzbatnyz3c2d","Notícia da @oglobo.globo.com

""Com presença de Ney Matogrosso, Imperatriz junta sambas para homenagear o cantor na Sapucaí""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T11:11:07Z","9","0","1","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzbatnyz3c2d"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzbatkpvbo2b","Notícia da @folha.com

""O preço invisível do autismo: quando ser mãe custa mais que o dobro""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T08:04:39-03:00","9","0","5","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzbatkpvbo2b"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzazbxewal2d","Notícia da @folha.com

""Ney Matogrosso diz que está entregue ao Carnaval""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T05:58:07-03:00","13","0","0","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzazbxewal2d"
"at://did:plc:y545canthvu4hk5bg4jdwh2t/app.bsky.feed.post/3lzawrofqtb2s","Notícia da @folha.com

""Bolsonarismo vive desalento pós-condenação, fica sem reação das ruas e insiste em anistia""

Link sem paywall ⬇️
","nopaywall.bsky.social","Notícias Sem Paywall","2025-09-20T05:06:05-03:00","8","0","1","","https://bsky.app/profile/nopaywall.bsky.social/post/3lzawrofqtb2s"
