index,clean_text
1,vacina hpv 9v tá cara né
2,15 minutos esperando tia vacina sextou
3,pastelzinho feira silksong vacina sábado gostoso demais
4,monark green card negado porque quis tomar vacina
5,vacina pro vírus cadeia pagar 700 000 mortos covid
6,ninguém negava vacina invadia capitólio palácio planalto tentava dar golpe negacionistas golpistas trump bolsonaro serem eleitos
7,2014 apoiou golpe todas oportunidades defendeu patrão votou bolsonaro pl solidariedade todos outros partidos tomou vacina disse tudo drama agora 2025 decide quer mudar país porque brasil problema amigo vc problema
8,lixos ferrando tomar vacina kkkkk logo logo vai fazer alguma merda aqui vai deixar cadeia
9,fico indignada tanta luta vacina justamente gov lula perdemos reforços todos
10,faixa etária q pegando q direito reforço vacina fico indignada
11,vacina caralho
12,empresas recorrem crédito remédio vacina tarifaço eua
13,painel secretário saúde eua retira recomendação vacina covid 19 série votações sexta feira conselheiros centros controlo prevenção doenças cdc
14,imagina soubesse gado bom precisa vacina
15,acho história vacina mentira ficou vergonha dizer ninguém terra tio sam
16,tava vendo treta cara levou golpe mano simplesmente tacou dados família toda golpista face lote vacina mãe golpista kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk ta zoação cacete
17,descobrindo bicicleta voltou brasil porque visto válido tomasse algumas vacinas azêmola recusou gado pra tomar vacina
18,mesmos suspeitos corrupção compra vacina covaxin durante governo bolsonaro apareceram novamente escândalo inss responsabilidade governo bolsonaro alguém surpreso agora flávio dino mandou investigar tudo
19,dor intensa revela marcelo faria sobre diagnóstico herpes zóster ator usou instagram quinta feira 18 9 falar sobre doença convocar fãs consulta pública sobre vacina www metropoles colunas fabi
20,cadê estrelinha ter tomado vacina hj
21,presidente academia americana pediatria sobre possíveis mudanças cronograma vacina npr últimasnotícias brasil hot news comitê consultivo cdc considerando alterações cronograma vacina infância npr fala dra susan kressly presidente academia americana
22,onde sei vacinas disponíveis postos saúde moto interior tomei dose renovando vacina tétano gripe tudo der certo semana vem toma covid
