handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
arksecktor.com,4,2162,2190,2023-06-30T19:18:40.803Z,False,False,False
fernandoaprado.bsky.social,6,7085,9265,2023-09-24T19:14:21.566Z,False,False,False
rosepaixao.bsky.social,8,7115,8623,2023-07-12T22:23:11.749Z,False,False,False
lucianosresende.bsky.social,9,21442,15787,2024-02-07T00:25:28.043Z,False,False,False
anjosbea.bsky.social,1,123,263,2023-07-13T18:55:41.775Z,False,False,False
danielcabral.bsky.social,1,83,48,2023-06-22T07:35:35.520Z,False,False,False
lureif.bsky.social,6,319,315,2024-04-14T22:26:29.640Z,False,False,False
issadevils.bsky.social,1,879,841,2024-09-08T15:35:47.925Z,False,False,False
cnn-brasil.bsky.social,25,4412,1,2024-08-31T18:16:06.398Z,False,False,False
pt-noticias.bsky.social,2,33,7,2025-08-28T23:33:17.596Z,True,False,False
lpacheco.bsky.social,1,153,170,2023-07-04T06:55:47.683Z,False,False,False
amazolin.bsky.social,2,808,880,2023-11-16T12:53:44.415Z,False,False,False
miniseun.bsky.social,1,464,484,2024-08-31T18:19:33.403Z,False,False,False
medoedeliriobr.bsky.social,1,57052,171,2023-08-17T13:41:40.846Z,False,False,False
carlosrof.bsky.social,1,39,4,2024-04-13T00:02:38.452Z,False,False,True
fabiaoliveira.bsky.social,1,7176,7,2024-08-30T18:29:02.634Z,False,False,False
juqsaur.bsky.social,1,669,585,2023-11-13T11:21:07.684Z,False,False,False
hotnewspt.bsky.social,3,20,12,2025-06-17T22:23:23.040Z,False,False,False
somosjacare.bsky.social,8,14638,37809,2024-08-31T21:39:40.598Z,False,False,False
maxabramo.bsky.social,1,308,450,2024-04-11T23:06:48.673Z,False,False,False
lukeastroz2.bsky.social,1,3,13,2025-08-07T15:41:24.798Z,False,False,False
lucifer.from.legal,9,290,371,2024-11-20T03:53:41.769Z,False,False,False
ma-campelo.bsky.social,3,1324,922,2024-08-31T10:16:56.999Z,False,False,False
sadgo.bsky.social,4,16,8,2024-09-01T23:19:16.867Z,False,False,False
claudialyaz.bsky.social,1,39,76,2023-07-03T08:02:37.237Z,False,False,False
ohobitinho.bsky.social,1,1958,1117,2023-06-22T13:23:31.170Z,False,False,False
contagemcorona1.bsky.social,533,1921,551,2024-03-17T14:38:26.110Z,False,False,True
victop.com.br,1,851,259,2024-08-29T02:36:32.321Z,False,False,False
marinao.bsky.social,6,433,342,2023-07-03T18:20:58.641Z,False,False,False
hurricanefenix.bsky.social,1,15,0,2024-08-31T23:13:56.897Z,False,False,False
somosprojetoamigos.bsky.social,6,4,3,2024-09-06T01:38:16.037Z,False,False,False
freeblowjob.deichator.ar,1,5085,720,2024-11-22T20:03:34.055Z,False,False,False
